scope,n_pairs,n_pos,n_neg,pos_sim_mean,neg_sim_mean,auc,auc_ci95_low,auc_ci95_high,eer,tar@far0.001,realized_far@far0.001,acc@far0.001,tar@far0.01,realized_far@far0.01,acc@far0.01
overall,3588,1794,1794,0.8088,0.026,1.0,1.0,1.0,0.0,0.9994,0.0,0.9997,0.9994,0.0,0.9997
frontal/frontal,621,322,299,0.8669,0.0197,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
frontal/half-profile,998,699,299,0.8185,0.0239,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
frontal/profile,545,246,299,0.7022,0.0221,1.0,1.0,1.0,0.0,0.9959,0.0,0.9982,0.9959,0.0,0.9982
half-profile/half-profile,577,278,299,0.8557,0.027,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
half-profile/profile,527,228,299,0.7599,0.0249,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
profile/profile,320,21,299,0.7508,0.0383,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
